0:0:0:0:0:0:0:1 - - [27/May/2025:11:04:14 +0700] "GET /jellycat1/signinup.jsp?status=logout_success HTTP/1.1" 200 5450
0:0:0:0:0:0:0:1 - - [27/May/2025:11:04:18 +0700] "GET /jellycat1/Product HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2025:11:04:18 +0700] "GET /jellycat1/signinup.jsp?status=login_required HTTP/1.1" 200 5450
0:0:0:0:0:0:0:1 - - [27/May/2025:11:04:22 +0700] "GET /jellycat1/Customer HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2025:11:04:22 +0700] "GET /jellycat1/signinup.jsp?status=login_required HTTP/1.1" 200 5450
0:0:0:0:0:0:0:1 - - [27/May/2025:11:04:29 +0700] "POST /jellycat1/SignInUp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2025:11:04:29 +0700] "GET /jellycat1/signinup.jsp?status=logout_success HTTP/1.1" 200 5450
0:0:0:0:0:0:0:1 - - [27/May/2025:11:04:40 +0700] "POST /jellycat1/SignInUp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2025:11:04:40 +0700] "GET /jellycat1/Product HTTP/1.1" 200 1983292
0:0:0:0:0:0:0:1 - - [27/May/2025:11:04:42 +0700] "POST /jellycat1/SignInUp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2025:11:04:42 +0700] "GET /jellycat1/signinup.jsp?status=logout_success HTTP/1.1" 200 5450
0:0:0:0:0:0:0:1 - - [27/May/2025:11:04:48 +0700] "GET /jellycat1/Admin HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [27/May/2025:11:04:51 +0700] "GET /jellycat1/Product HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2025:11:04:51 +0700] "GET /jellycat1/signinup.jsp?status=login_required HTTP/1.1" 200 5450
0:0:0:0:0:0:0:1 - - [27/May/2025:11:04:59 +0700] "GET /jellycat1/Customer HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2025:11:04:59 +0700] "GET /jellycat1/signinup.jsp?status=login_required HTTP/1.1" 200 5450
0:0:0:0:0:0:0:1 - - [27/May/2025:11:05:02 +0700] "GET /jellycat1/ProductList HTTP/1.1" 200 3972799
127.0.0.1 - - [27/May/2025:11:05:36 +0700] "GET /jellycat1/ProductList HTTP/1.1" 200 3972799
127.0.0.1 - - [27/May/2025:11:05:36 +0700] "GET /jellycat1/js/csrf-protection.js HTTP/1.1" 200 10086
127.0.0.1 - - [27/May/2025:11:05:36 +0700] "GET /jellycat1/js/script.js HTTP/1.1" 200 1666
127.0.0.1 - - [27/May/2025:11:05:38 +0700] "GET /favicon.ico HTTP/1.1" 404 683
127.0.0.1 - - [27/May/2025:11:05:55 +0700] "POST /jellycat1/CartServlet HTTP/1.1" 302 -
127.0.0.1 - - [27/May/2025:11:05:56 +0700] "GET /jellycat1/cart.jsp HTTP/1.1" 200 2379
127.0.0.1 - - [27/May/2025:11:06:00 +0700] "GET /jellycat1/ProductList HTTP/1.1" 200 3972799
127.0.0.1 - - [27/May/2025:11:06:16 +0700] "POST /jellycat1/CartServlet HTTP/1.1" 302 -
127.0.0.1 - - [27/May/2025:11:06:17 +0700] "GET /jellycat1/cart.jsp HTTP/1.1" 200 2382
127.0.0.1 - - [27/May/2025:11:08:23 +0700] "POST /jellycat1/CartServlet HTTP/1.1" 302 -
127.0.0.1 - - [27/May/2025:11:08:24 +0700] "GET /jellycat1/cart.jsp HTTP/1.1" 200 79926
127.0.0.1 - - [27/May/2025:11:08:31 +0700] "POST /jellycat1/CartServlet HTTP/1.1" 302 -
127.0.0.1 - - [27/May/2025:11:08:31 +0700] "GET /jellycat1/cart.jsp HTTP/1.1" 200 79933
127.0.0.1 - - [27/May/2025:11:08:34 +0700] "GET /jellycat1/checkout.jsp HTTP/1.1" 200 4546
127.0.0.1 - - [27/May/2025:11:08:43 +0700] "GET /jellycat1/ProductList HTTP/1.1" 200 3972799
0:0:0:0:0:0:0:1 - - [27/May/2025:11:11:24 +0700] "GET /jellycat1/SignInUp HTTP/1.1" 200 5450
0:0:0:0:0:0:0:1 - - [27/May/2025:11:11:27 +0700] "GET /jellycat1/ProductList HTTP/1.1" 200 3972799
0:0:0:0:0:0:0:1 - - [27/May/2025:11:11:30 +0700] "GET /jellycat1/SignInUp HTTP/1.1" 200 5450
0:0:0:0:0:0:0:1 - - [27/May/2025:11:11:36 +0700] "POST /jellycat1/SignInUp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2025:11:11:36 +0700] "GET /jellycat1/Product HTTP/1.1" 200 1983292
0:0:0:0:0:0:0:1 - - [27/May/2025:11:11:39 +0700] "POST /jellycat1/SignInUp HTTP/1.1" 302 -
